,Напряжение бортовой сети,Количество топлива,Напряжение аккумуляторной батареи,Оценка риска,Источник риска
2520,12.365777,36.828458,12.2,0.23860516835031076,Неустойчивое напряжение бортовой сети
2530,12.345651,36.783243,12.2,0.23897638284407868,Неустойчивое напряжение бортовой сети
2540,12.363602,36.73599,12.2,0.2393674263520036,Неустойчивое напряжение бортовой сети
2550,12.403127,36.687877,12.2,0.23977670093420206,Неустойчивое напряжение бортовой сети
2560,12.398435,36.644364,12.2,0.2350090844561385,Неустойчивое напряжение бортовой сети
2570,12.197248,36.611231,12.2,0.22733171982263303,Неустойчивое напряжение бортовой сети
2580,12.347104,36.569804,12.2,0.25280749225937904,Неустойчивое напряжение бортовой сети
2590,12.318207,36.522217,12.2,0.26240554103840996,Неустойчивое напряжение бортовой сети
2600,12.32554,36.470887,12.2,0.2661970901162018,Неустойчивое напряжение бортовой сети
2610,12.30298,36.41789,12.2,0.2679090386891773,Неустойчивое напряжение бортовой сети
2620,12.335432,36.361952,12.2,0.26887292221351144,Неустойчивое напряжение бортовой сети
2630,12.333683,36.300822,12.2,0.26934853044369883,Неустойчивое напряжение бортовой сети
2640,12.299338,36.237479,12.2,0.2698639656125937,Неустойчивое напряжение бортовой сети
2650,12.263972,36.183265,12.2,0.2704076163420127,Неустойчивое напряжение бортовой сети
2660,12.249895,36.145999,12.2,0.2584974455715108,Неустойчивое напряжение бортовой сети
2670,12.281101,36.104058,12.2,0.2569680015447073,Неустойчивое напряжение бортовой сети
2680,12.318668,36.057593,12.2,0.25664646968732446,Неустойчивое напряжение бортовой сети
2690,12.32808,36.008176,12.2,0.2567961174244747,Неустойчивое напряжение бортовой сети
2700,12.300684,35.962029,12.2,0.257137089749649,Неустойчивое напряжение бортовой сети
2710,12.273046,35.918224,12.2,0.25761424570029173,Неустойчивое напряжение бортовой сети
2720,12.19721,35.884349,12.2,0.2580277613241996,Неустойчивое напряжение бортовой сети
2730,12.281341,35.848808,12.2,0.2681221880115623,Неустойчивое напряжение бортовой сети
2740,12.321028,35.795563,12.2,0.27203903911666594,Неустойчивое напряжение бортовой сети
2750,12.340851,35.751811,12.2,0.2737863139618689,Неустойчивое напряжение бортовой сети
2760,12.402528,35.703916,12.2,0.2746813809020132,Неустойчивое напряжение бортовой сети
2770,12.362974,35.658927,12.2,0.2752879811167812,Неустойчивое напряжение бортовой сети
2780,12.33849,35.62306,12.2,0.27570708650403697,Неустойчивое напряжение бортовой сети
2790,12.197125,35.591143,12.2,0.2760700408497248,Неустойчивое напряжение бортовой сети
2800,12.390234,35.557345,12.2,0.2764045505861009,Неустойчивое напряжение бортовой сети
2810,12.4278,35.516956,12.2,0.27672484484973303,Неустойчивое напряжение бортовой сети
2820,12.420122,35.473706,12.2,0.2770791221600125,Неустойчивое напряжение бортовой сети
2830,12.383171,35.428965,12.2,0.27746361267727215,Неустойчивое напряжение бортовой сети
2840,12.350919,35.382904,12.2,0.2778691761536113,Неустойчивое напряжение бортовой сети
